Player,Team,Pos,Age,Standard_Gls,Standard_Ast,Standard_xG,Standard_xAG,Transfer_Value,Transfer_Value_Str
Thomas Partey,Arsenal,"MF,DF",31,4,2,2.3,2.1,13.501799999999998,EUR 13.5M
Tim Iroegbunam,Everton,MF,21,0,1,0.2,0.2,14.979299999999999,EUR 15.0M
Timo Werner,Tottenham,"FW,MF",28,0,3,1.0,2.5,20.412,EUR 20.4M
Timothy Castagne,Fulham,DF,28,0,1,0.4,1.2,10.392479999999999,EUR 10.4M
Toby Collyer,Manchester Utd,MF,20,0,0,0.2,0.3,15.075,EUR 15.1M
Tom Cairney,Fulham,MF,33,2,0,0.8,1.1,11.754899999999997,EUR 11.8M
Tommy Doyle,Wolves,MF,22,0,1,0.6,0.5,14.774399999999998,EUR 14.8M
Tomáš Souček,West Ham,MF,29,9,1,6.7,1.0,15.645600000000002,EUR 15.6M
Tosin Adarabioyo,Chelsea,DF,26,1,1,0.9,0.2,11.045760000000001,EUR 11.0M
Toti Gomes,Wolves,DF,25,0,1,0.7,0.9,11.1348,EUR 11.1M
Trent Alexander-Arnold,Liverpool,DF,25,3,6,1.9,7.3,13.4136,EUR 13.4M
Trevoh Chalobah,Chelsea,DF,25,0,1,0.8,1.2,11.177999999999999,EUR 11.2M
Tyler Adams,Bournemouth,MF,25,0,3,1.6,1.0,14.458499999999999,EUR 14.5M
Tyler Dibling,Southampton,"FW,MF",18,2,0,2.5,1.5,25.272000000000006,EUR 25.3M
Tyler Fredricson,Manchester Utd,DF,19,0,0,0.0,0.0,12.24,EUR 12.2M
Tyrell Malacia,Manchester Utd,DF,24,0,0,0.0,0.0,11.04,EUR 11.0M
Tyrick Mitchell,Crystal Palace,DF,24,0,5,1.3,6.4,12.718079999999999,EUR 12.7M
Tyrique George,Chelsea,FW,18,1,1,0.2,0.7,24.429600000000004,EUR 24.4M
Tyrone Mings,Aston Villa,DF,31,0,0,0.8,0.2,9.4536,EUR 9.5M
Valentino Livramento,Newcastle Utd,DF,21,0,1,0.3,2.6,12.27744,EUR 12.3M
Victor Bernth Kristiansen,Leicester City,DF,21,0,1,0.3,1.4,12.13632,EUR 12.1M
Victor Lindelöf,Manchester Utd,DF,30,0,0,0.0,0.1,9.609599999999999,EUR 9.6M
Virgil van Dijk,Liverpool,DF,33,3,1,2.2,0.7,9.803519999999999,EUR 9.8M
Vitaliy Mykolenko,Everton,DF,25,1,2,0.5,2.6,11.674800000000001,EUR 11.7M
Vitaly Janelt,Brentford,MF,26,1,3,0.8,2.2,14.454,EUR 14.5M
Vladimír Coufal,West Ham,DF,31,0,0,0.3,0.7,9.4536,EUR 9.5M
Wataru Endo,Liverpool,"MF,DF",31,0,0,0.0,0.1,11.711699999999999,EUR 11.7M
Welington,Southampton,DF,23,0,0,0.0,0.1,11.291279999999999,EUR 11.3M
Wes Burns,Ipswich Town,"FW,DF",29,0,1,0.5,1.6,19.1142,EUR 19.1M
Wesley Fofana,Chelsea,DF,23,0,0,0.4,0.4,11.370239999999999,EUR 11.4M
Wilfred Ndidi,Leicester City,MF,27,0,5,2.0,1.9,14.3706,EUR 14.4M
Will Hughes,Crystal Palace,MF,29,0,3,1.1,3.1,13.3701,EUR 13.4M
William Osula,Newcastle Utd,FW,20,1,0,0.2,0.1,23.0175,EUR 23.0M
William Saliba,Arsenal,DF,23,2,0,2.3,0.9,12.09216,EUR 12.1M
William Smallbone,Southampton,MF,24,1,0,0.6,0.7,14.255399999999998,EUR 14.3M
Willian,Fulham,"FW,MF",35,0,0,0.3,0.5,15.876,EUR 15.9M
Willy Boly,Nott'ham Forest,DF,33,0,0,0.1,0.0,8.888879999999999,EUR 8.9M
Wilson Odobert,Tottenham,"FW,MF",19,1,0,1.6,1.0,24.0057,EUR 24.0M
Wout Faes,Leicester City,DF,26,1,0,1.5,0.1,10.94016,EUR 10.9M
Woyo Coulibaly,Leicester City,DF,25,0,0,0.0,0.0,10.8,EUR 10.8M
Yankuba Minteh,Brighton,"FW,MF",20,6,4,4.1,5.0,28.597499999999997,EUR 28.6M
Yasin Ayari,Brighton,MF,20,2,1,2.4,2.3,16.53,EUR 16.5M
Yehor Yarmoliuk,Brentford,MF,20,0,0,0.6,0.9,15.224999999999998,EUR 15.2M
Yerson Mosquera,Wolves,DF,23,0,0,0.3,0.1,11.32512,EUR 11.3M
Yoane Wissa,Brentford,FW,27,19,4,18.5,2.6,31.94685,EUR 31.9M
Youri Tielemans,Aston Villa,MF,27,3,7,3.3,7.0,16.357200000000002,EUR 16.4M
Yukinari Sugawara,Southampton,"DF,MF",24,1,1,0.5,2.2,14.6556,EUR 14.7M
Yves Bissouma,Tottenham,MF,27,2,0,0.6,0.3,13.5321,EUR 13.5M
Álex Moreno,Nott'ham Forest,"DF,MF",31,0,1,0.2,1.3,12.051,EUR 12.1M
İlkay Gündoğan,Manchester City,MF,33,1,6,3.2,3.5,13.064699999999998,EUR 13.1M
Łukasz Fabiański,West Ham,GK,39,0,0,0.0,0.0,4.65,EUR 4.7M
